step,train/mf_minDist_mean,train/mf_maxW_mean,train/mf_entropy_mean,train/prompt_utilization/p0,train/prompt_utilization/p1,train/prompt_utilization/p2,train/acc_per_prompt/p0,train/acc_per_prompt/p1,train/acc_per_prompt/p2,train/acc_top_prompt,train/weighted_margin_mean,train/mf_sqdist_mean_all
4750,0.002605438232421875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.208984375,0.0031757354736328125
4800,0.002643585205078125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.93359375,0.003204345703125
4850,0.00263214111328125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.5078125,0.0031719207763671875
4900,0.0025959014892578125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,3.3671875,0.0031719207763671875
4950,0.0025787353515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,3.1796875,0.003154754638671875
5000,0.002666473388671875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.603515625,0.0031757354736328125
5050,0.0025920867919921875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.90625,0.90625,0.90625,0.90625,3.22265625,0.0032176971435546875
5100,0.0025691986083984375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.875,0.875,0.875,0.875,3.376953125,0.0032062530517578125
5150,0.002704620361328125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.953125,0.0032711029052734375
5200,0.0026454925537109375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.625,0.625,0.625,0.625,2.62890625,0.003208160400390625
5250,0.0027256011962890625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.83203125,0.0031719207763671875
5300,0.0027103424072265625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.982421875,0.0032482147216796875
5350,0.0026493072509765625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.625,0.625,0.625,0.625,2.75,0.0031890869140625
5400,0.002651214599609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.982421875,0.003223419189453125
5450,0.002651214599609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.841796875,0.0032062530517578125
5500,0.0025806427001953125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.24609375,0.003177642822265625
5550,0.002559661865234375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.875,0.875,0.875,0.875,4.31640625,0.0032291412353515625
5600,0.0026092529296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.921875,0.003185272216796875
5650,0.002681732177734375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.498046875,0.003170013427734375
5700,0.0026378631591796875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.857421875,0.0032138824462890625
5750,0.002574920654296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.369140625,0.0031909942626953125
5800,0.0027103424072265625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.5859375,0.00324249267578125
5850,0.0027008056640625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.533203125,0.003231048583984375
5900,0.0026569366455078125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.44921875,0.0031890869140625
5950,0.00269317626953125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,3.501953125,0.0032596588134765625
6000,0.0026454925537109375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.86328125,0.003208160400390625
6050,0.002590179443359375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.34375,0.0032215118408203125
6100,0.0026950836181640625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.6875,0.003223419189453125
6150,0.0025691986083984375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.08984375,0.003162384033203125
6200,0.0025959014892578125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.25390625,0.00318145751953125
6250,0.0026111602783203125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,2.80078125,0.003173828125
